"URN","LinkURN","LinkName","LinkType","LinkEstablishedDate"
102834,102822,"Woodlands Infants' School","Result of Amalgamation","01-04-2014"
102898,102899,"Stanley Infant and Nursery School","Parent","31-08-2010"
102958,142419,"Bandon Hill Primary School","Child","31-10-2015"
102969,102970,"Hackbridge Infants' School","Parent",""
103044,103043,"Downsell Junior School","Parent",""
103048,103047,"Newport Junior School","Parent",""
103080,127032,"Cann Hall Junior School","Parent",""
103080,127033,"Cann Hall Infants' School","Parent",""
103080,103093,"Tom Hood Community Science College","Parent","01-01-2010"
103081,103029,"College Gardens Nursery","Parent","01-09-2011"
103092,144238,"St Mary's Walthamstow CofE Voluntary Aided Primary School","Child","31-03-2017"
103094,103099,"Warwick School for Boys","Parent",""
103119,101320,"St John's CofE Infant School","Parent",""
103119,101322,"St Mary's CofE Junior School","Parent",""
103153,144337,"Bordesley Village Primary School","Child","20-01-2017"
103187,103186,"Colmers Farm Junior School","Parent","11-02-2016"
103227,139227,"Lozells Primary School","Child","07-01-2013"
103264,143433,"Stirchley Primary School","Child","30-09-2016"
103388,127056,"Little Sutton First School","Parent",""
103388,127054,"Little Sutton Middle School","Parent",""
103390,127057,"Coppice Infant School","Parent",""
103390,127055,"Coppice Junior School","Parent",""
103391,127047,"Calshot Junior School","Parent",""
103391,127048,"Calshot Infant School","Parent",""
103392,127050,"Grove Junior School","Parent",""
103392,127049,"Grove Infant and Nursery School","Parent",""
103395,127051,"Woodington Infant School","Parent",""
103518,144306,"The International School","Child","20-01-2017"
103549,143562,"Handsworth Grammar School","Child","31-10-2016"
103598,105057,"Prenton Junior School","Parent",""
103598,105044,"Prenton Infant School","Parent",""
103610,144336,"Hallmoor School","Child","20-01-2017"
103618,144042,"Brays School","Child","31-03-2017"
103624,144043,"The Bridge School","Child","31-03-2017"
103640,144064,"Courthouse Green Primary School","Child","31-03-2017"
103644,143535,"Hearsall Community Primary School","Child","09-09-2016"
103680,127077,"Coundon Junior School","Parent",""
103680,127113,"Coundon Infant School","Parent",""
103681,127110,"Aldermoor Farm Junior School","Parent",""
103681,127118,"Aldermoor Farm Infant School","Parent",""
103682,127094,"Ravensdale Junior School","Parent",""
103682,127095,"Ravensdale Infant School","Parent",""
103684,127102,"Stoke Heath Junior School","Parent",""
103684,127103,"Stoke Heath Infant School","Parent",""
103685,127106,"Whitmore Park Junior School","Parent",""
103685,127107,"Whitmore Park Infant School","Parent",""
103686,127099,"Stivichall Infant School","Parent",""
